sent_pair_1,sent_pair_2,tag
"Our_PRP$ country_NN will_MD thrive_VB and_CC prosper_VB again_RB ._.
","We_PRP stand_VBP at_IN the_DT birth_NN of_IN a_DT new_JJ millennium_NNP ,_, ready_JJ to_TO unlock_VB the_DT mysteries_NNS of_IN space_NN ,_, to_TO free_VB the_DT Earth_NNP from_IN the_DT miseries_NNS of_IN disease_NN ,_, and_CC to_TO harness_NN the_DT energies_NNS ,_, industries_NNS ,_, and_CC technologies_NNS of_IN tomorrow_NN ._.
",F
"We_PRP stand_VBP at_IN the_DT birth_NN of_IN a_DT new_JJ millennium_NNP ,_, ready_JJ to_TO unlock_VB the_DT mysteries_NNS of_IN space_NN ,_, to_TO free_VB the_DT Earth_NNP from_IN the_DT miseries_NNS of_IN disease_NN ,_, and_CC to_TO harness_NN the_DT energies_NNS ,_, industries_NNS ,_, and_CC technologies_NNS of_IN tomorrow_NN ._.
","A_DT new_JJ national_JJ pride_NN will_MD stir_VB our_PRP$ souls_NNS ,_, lift_VB our_PRP$ sights_NNS ,_, and_CC heal_VB our_PRP$ divisions_NNS ._.
",F
"A_DT new_JJ national_JJ pride_NN will_MD stir_VB our_PRP$ souls_NNS ,_, lift_VB our_PRP$ sights_NNS ,_, and_CC heal_VB our_PRP$ divisions_NNS ._.
","It_PRP 's_VBZ time_NN to_TO remember_VB that_DT old_JJ wisdom_NN our_PRP$ soldiers_NNS will_MD never_RB forget_VB :_:
",F
"It_PRP 's_VBZ time_NN to_TO remember_VB that_DT old_JJ wisdom_NN our_PRP$ soldiers_NNS will_MD never_RB forget_VB :_:
"," that_IN whether_IN we_PRP are_VBP Black_JJ or_CC Brown_JJ or_CC White_NNP ,_, we_PRP all_DT bleed_VBP the_DT same_JJ red_JJ blood_NN of_IN patriots_NNS ,_, we_PRP all_DT enjoy_VBP the_DT same_JJ glorious_JJ freedoms_NNS ,_, and_CC we_PRP all_DT salute_VBP the_DT same_JJ great_JJ American_JJ flag_NN ._.
",F
" that_IN whether_IN we_PRP are_VBP Black_JJ or_CC Brown_JJ or_CC White_NNP ,_, we_PRP all_DT bleed_VBP the_DT same_JJ red_JJ blood_NN of_IN patriots_NNS ,_, we_PRP all_DT enjoy_VBP the_DT same_JJ glorious_JJ freedoms_NNS ,_, and_CC we_PRP all_DT salute_VBP the_DT same_JJ great_JJ American_JJ flag_NN ._.
","And_CC whether_IN a_DT child_NN is_VBZ born_VBN in_IN the_DT urban_JJ sprawl_NN of_IN Detroit_NNP or_CC the_DT windswept_JJ plains_NNS of_IN Nebraska_NNP ,_, they_PRP look_VBP up_RP at_IN the_DT same_JJ night_NN sky_NN ,_, they_PRP fill_VBP their_PRP$ heart_NN with_IN the_DT same_JJ dreams_NNS ,_, and_CC they_PRP are_VBP infused_VBN with_IN the_DT breath_NN of_IN life_NN by_IN the_DT same_JJ almighty_NN Creator_NNP ._.
",T
"And_CC whether_IN a_DT child_NN is_VBZ born_VBN in_IN the_DT urban_JJ sprawl_NN of_IN Detroit_NNP or_CC the_DT windswept_JJ plains_NNS of_IN Nebraska_NNP ,_, they_PRP look_VBP up_RP at_IN the_DT same_JJ night_NN sky_NN ,_, they_PRP fill_VBP their_PRP$ heart_NN with_IN the_DT same_JJ dreams_NNS ,_, and_CC they_PRP are_VBP infused_VBN with_IN the_DT breath_NN of_IN life_NN by_IN the_DT same_JJ almighty_NN Creator_NNP ._.
","So_IN to_TO all_DT Americans_NNPS in_IN every_DT city_NN near_IN and_CC far_RB ,_, small_JJ and_CC large_JJ ,_, from_IN mountain_NN to_TO mountain_NN ,_, from_IN ocean_NN to_TO ocean_NN ,_, hear_VB these_DT words_NNS :_:
",F
"So_IN to_TO all_DT Americans_NNPS in_IN every_DT city_NN near_IN and_CC far_RB ,_, small_JJ and_CC large_JJ ,_, from_IN mountain_NN to_TO mountain_NN ,_, from_IN ocean_NN to_TO ocean_NN ,_, hear_VB these_DT words_NNS :_:
"," You_PRP will_MD never_RB be_VB ignored_VBN again_RB ._.
",F
" You_PRP will_MD never_RB be_VB ignored_VBN again_RB ._.
","Your_PRP$ voice_NN ,_, your_PRP$ hopes_NNS ,_, and_CC your_PRP$ dreams_NNS will_MD define_VB our_PRP$ American_JJ destiny_NN ._.
",F
"Your_PRP$ voice_NN ,_, your_PRP$ hopes_NNS ,_, and_CC your_PRP$ dreams_NNS will_MD define_VB our_PRP$ American_JJ destiny_NN ._.
","And_CC your_PRP$ courage_NN and_CC goodness_NN and_CC love_NN will_MD forever_RB guide_VB us_PRP along_IN the_DT way_NN ._.
",T
"And_CC your_PRP$ courage_NN and_CC goodness_NN and_CC love_NN will_MD forever_RB guide_VB us_PRP along_IN the_DT way_NN ._.
","Together_RB ,_, we_PRP will_MD make_VB America_NNP strong_JJ again_RB ._.
",F
"Together_RB ,_, we_PRP will_MD make_VB America_NNP strong_JJ again_RB ._.
","We_PRP will_MD make_VB America_NNP wealthy_JJ again_RB ._.
",T
"We_PRP will_MD make_VB America_NNP wealthy_JJ again_RB ._.
","We_PRP will_MD make_VB America_NNP proud_JJ again_RB ._.
",T
"We_PRP will_MD make_VB America_NNP proud_JJ again_RB ._.
","We_PRP will_MD make_VB America_NNP safe_JJ again_RB ._.
",T
"We_PRP will_MD make_VB America_NNP safe_JJ again_RB ._.
","And_CC ,_, yes_UH ,_, together_RB ,_, we_PRP will_MD make_VB America_NNP great_JJ again_RB ._.
",T
"And_CC ,_, yes_UH ,_, together_RB ,_, we_PRP will_MD make_VB America_NNP great_JJ again_RB ._.
","Thank_VB you_PRP ._.
",F
"Thank_VB you_PRP ._.
","God_NNP bless_VB you_PRP ,_, and_CC God_NNP bless_VBP America_NNP ._.
",F
"God_NNP bless_VB you_PRP ,_, and_CC God_NNP bless_VBP America_NNP ._.
","Thank_VB you_PRP ._.
",F
"Thank_VB you_PRP ._.
","God_NNP bless_VB America_NNP ._.
",F
"My_PRP$ fellow_JJ citizens_NNS ,_, I_PRP stand_VBP here_RB today_NN humbled_VBN by_IN the_DT task_NN before_IN us_PRP ,_, grateful_JJ for_IN the_DT trust_NN you_PRP have_VBP bestowed_VBN ,_, mindful_JJ of_IN the_DT sacrifices_NNS borne_VBN by_IN our_PRP$ ancestors_NNS ._.
","I_PRP thank_VBP President_NNP Bush_NNP for_IN his_PRP$ service_NN to_TO our_PRP$ Nation_NNP ,_, as_RB well_RB as_IN the_DT generosity_NN and_CC cooperation_NN he_PRP has_VBZ shown_VBN throughout_IN this_DT transition_NN ._.
",F
"I_PRP thank_VBP President_NNP Bush_NNP for_IN his_PRP$ service_NN to_TO our_PRP$ Nation_NNP ,_, as_RB well_RB as_IN the_DT generosity_NN and_CC cooperation_NN he_PRP has_VBZ shown_VBN throughout_IN this_DT transition_NN ._.
","Forty-four_CD Americans_NNPS have_VBP now_RB taken_VBN the_DT Presidential_JJ oath_NN ._.
",F
"Forty-four_CD Americans_NNPS have_VBP now_RB taken_VBN the_DT Presidential_JJ oath_NN ._.
","The_DT words_NNS have_VBP been_VBN spoken_VBN during_IN rising_VBG tides_NNS of_IN prosperity_NN and_CC the_DT still_RB waters_NNS of_IN peace_NN ._.
",F
"The_DT words_NNS have_VBP been_VBN spoken_VBN during_IN rising_VBG tides_NNS of_IN prosperity_NN and_CC the_DT still_RB waters_NNS of_IN peace_NN ._.
","Yet_CC every_DT so_RB often_RB ,_, the_DT oath_NN is_VBZ taken_VBN amidst_IN gathering_VBG clouds_NNS and_CC raging_VBG storms_NNS ._.
",F
"Yet_CC every_DT so_RB often_RB ,_, the_DT oath_NN is_VBZ taken_VBN amidst_IN gathering_VBG clouds_NNS and_CC raging_VBG storms_NNS ._.
","At_IN these_DT moments_NNS ,_, America_NNP has_VBZ carried_VBN on_IN not_RB simply_RB because_IN of_IN the_DT skill_NN or_CC vision_NN of_IN those_DT in_IN high_JJ office_NN ,_, but_CC because_IN we_PRP the_DT people_NNS have_VBP remained_VBN faithful_JJ to_TO the_DT ideals_NNS of_IN our_PRP$ forebears_NNS and_CC true_JJ to_TO our_PRP$ founding_VBG documents_NNS ._.
",F
"At_IN these_DT moments_NNS ,_, America_NNP has_VBZ carried_VBN on_IN not_RB simply_RB because_IN of_IN the_DT skill_NN or_CC vision_NN of_IN those_DT in_IN high_JJ office_NN ,_, but_CC because_IN we_PRP the_DT people_NNS have_VBP remained_VBN faithful_JJ to_TO the_DT ideals_NNS of_IN our_PRP$ forebears_NNS and_CC true_JJ to_TO our_PRP$ founding_VBG documents_NNS ._.
","So_IN it_PRP has_VBZ been_VBN ;_:
",F
"So_IN it_PRP has_VBZ been_VBN ;_:
"," so_IN it_PRP must_MD be_VB with_IN this_DT generation_NN of_IN Americans_NNPS ._.
",T
" so_IN it_PRP must_MD be_VB with_IN this_DT generation_NN of_IN Americans_NNPS ._.
","That_DT we_PRP are_VBP in_IN the_DT midst_NN of_IN crisis_NN is_VBZ now_RB well_RB understood_VBN ._.
",F
"That_DT we_PRP are_VBP in_IN the_DT midst_NN of_IN crisis_NN is_VBZ now_RB well_RB understood_VBN ._.
","Our_PRP$ Nation_NN is_VBZ at_IN war_NN against_IN a_DT far-reaching_JJ network_NN of_IN violence_NN and_CC hatred_NN ._.
",F
"Our_PRP$ Nation_NN is_VBZ at_IN war_NN against_IN a_DT far-reaching_JJ network_NN of_IN violence_NN and_CC hatred_NN ._.
","Our_PRP$ economy_NN is_VBZ badly_RB weakened_VBN ,_, a_DT consequence_NN of_IN greed_NN and_CC irresponsibility_NN on_IN the_DT part_NN of_IN some_DT ,_, but_CC also_RB our_PRP$ collective_JJ failure_NN to_TO make_VB hard_JJ choices_NNS and_CC prepare_VB the_DT Nation_NN for_IN a_DT new_JJ age_NN ._.
",F
"Our_PRP$ economy_NN is_VBZ badly_RB weakened_VBN ,_, a_DT consequence_NN of_IN greed_NN and_CC irresponsibility_NN on_IN the_DT part_NN of_IN some_DT ,_, but_CC also_RB our_PRP$ collective_JJ failure_NN to_TO make_VB hard_JJ choices_NNS and_CC prepare_VB the_DT Nation_NN for_IN a_DT new_JJ age_NN ._.
","Homes_NNPS have_VBP been_VBN lost_VBN ,_, jobs_NNS shed_VBD ,_, businesses_NNS shuttered_VBD ._.
",F
"Homes_NNPS have_VBP been_VBN lost_VBN ,_, jobs_NNS shed_VBD ,_, businesses_NNS shuttered_VBD ._.
","Our_PRP$ health_NN care_NN is_VBZ too_RB costly_JJ ._.
",F
"Our_PRP$ health_NN care_NN is_VBZ too_RB costly_JJ ._.
","Our_PRP$ schools_NNS fail_VBP too_RB many_JJ ._.
",T
"Our_PRP$ schools_NNS fail_VBP too_RB many_JJ ._.
","And_CC each_DT day_NN brings_VBZ further_JJ evidence_NN that_IN the_DT ways_NNS we_PRP use_VBP energy_NN strengthen_VB our_PRP$ adversaries_NNS and_CC threaten_VB our_PRP$ planet_NN ._.
",F
"And_CC each_DT day_NN brings_VBZ further_JJ evidence_NN that_IN the_DT ways_NNS we_PRP use_VBP energy_NN strengthen_VB our_PRP$ adversaries_NNS and_CC threaten_VB our_PRP$ planet_NN ._.
","These_DT are_VBP the_DT indicators_NNS of_IN crisis_NN ,_, subject_JJ to_TO data_NNS and_CC statistics_NNS ._.
",F
"These_DT are_VBP the_DT indicators_NNS of_IN crisis_NN ,_, subject_JJ to_TO data_NNS and_CC statistics_NNS ._.
","Less_RBR measurable_JJ but_CC no_DT less_JJR profound_JJ is_VBZ a_DT sapping_VBG of_IN confidence_NN across_IN our_PRP$ land_NN ,_, a_DT nagging_JJ fear_NN that_IN America_NNP 's_POS decline_NN is_VBZ inevitable_JJ ,_, that_IN the_DT next_JJ generation_NN must_MD lower_VB its_PRP$ sights_NNS ._.
",F
"Less_RBR measurable_JJ but_CC no_DT less_JJR profound_JJ is_VBZ a_DT sapping_VBG of_IN confidence_NN across_IN our_PRP$ land_NN ,_, a_DT nagging_JJ fear_NN that_IN America_NNP 's_POS decline_NN is_VBZ inevitable_JJ ,_, that_IN the_DT next_JJ generation_NN must_MD lower_VB its_PRP$ sights_NNS ._.
","Today_NN I_PRP say_VBP to_TO you_PRP that_IN the_DT challenges_NNS we_PRP face_VBP are_VBP real_JJ ._.
",F
"Today_NN I_PRP say_VBP to_TO you_PRP that_IN the_DT challenges_NNS we_PRP face_VBP are_VBP real_JJ ._.
","They_PRP are_VBP serious_JJ ,_, and_CC they_PRP are_VBP many_JJ ._.
",F
"They_PRP are_VBP serious_JJ ,_, and_CC they_PRP are_VBP many_JJ ._.
","They_PRP will_MD not_RB be_VB met_VBN easily_RB or_CC in_IN a_DT short_JJ span_NN of_IN time_NN ._.
",F
"They_PRP will_MD not_RB be_VB met_VBN easily_RB or_CC in_IN a_DT short_JJ span_NN of_IN time_NN ._.
","But_CC know_VB this_DT ,_, America_NNP :_:
",F
"But_CC know_VB this_DT ,_, America_NNP :_:
"," They_PRP will_MD be_VB met_VBN ._.
",F
" They_PRP will_MD be_VB met_VBN ._.
","On_IN this_DT day_NN ,_, we_PRP gather_VBP because_IN we_PRP have_VBP chosen_VBN hope_NN over_IN fear_NN ,_, unity_NN of_IN purpose_NN over_IN conflict_NN and_CC discord_NN ._.
",F
"On_IN this_DT day_NN ,_, we_PRP gather_VBP because_IN we_PRP have_VBP chosen_VBN hope_NN over_IN fear_NN ,_, unity_NN of_IN purpose_NN over_IN conflict_NN and_CC discord_NN ._.
","On_IN this_DT day_NN ,_, we_PRP come_VBP to_TO proclaim_VB an_DT end_NN to_TO the_DT petty_NN grievances_NNS and_CC false_JJ promises_NNS ,_, the_DT recriminations_NNS and_CC worn-out_JJ dogmas_NNS that_WDT for_IN far_RB too_RB long_RB have_VB strangled_VBN our_PRP$ politics_NNS ._.
",T
"On_IN this_DT day_NN ,_, we_PRP come_VBP to_TO proclaim_VB an_DT end_NN to_TO the_DT petty_NN grievances_NNS and_CC false_JJ promises_NNS ,_, the_DT recriminations_NNS and_CC worn-out_JJ dogmas_NNS that_WDT for_IN far_RB too_RB long_RB have_VB strangled_VBN our_PRP$ politics_NNS ._.
","We_PRP remain_VBP a_DT young_JJ nation_NN ,_, but_CC in_IN the_DT words_NNS of_IN Scripture_NNP ,_, the_DT time_NN has_VBZ come_VBN to_TO set_VB aside_RB childish_JJ things_NNS ._.
",F
"We_PRP remain_VBP a_DT young_JJ nation_NN ,_, but_CC in_IN the_DT words_NNS of_IN Scripture_NNP ,_, the_DT time_NN has_VBZ come_VBN to_TO set_VB aside_RB childish_JJ things_NNS ._.
","The_DT time_NN has_VBZ come_VBN to_TO reaffirm_VB our_PRP$ enduring_VBG spirit_NN ,_, to_TO choose_VB our_PRP$ better_JJR history_NN ,_, to_TO carry_VB forward_RP that_DT precious_JJ gift_NN ,_, that_WDT noble_JJ idea_NN passed_VBN on_IN from_IN generation_NN to_TO generation_NN :_:
",T
"The_DT time_NN has_VBZ come_VBN to_TO reaffirm_VB our_PRP$ enduring_VBG spirit_NN ,_, to_TO choose_VB our_PRP$ better_JJR history_NN ,_, to_TO carry_VB forward_RP that_DT precious_JJ gift_NN ,_, that_WDT noble_JJ idea_NN passed_VBN on_IN from_IN generation_NN to_TO generation_NN :_:
"," the_DT God-given_JJ promise_NN that_IN all_DT are_VBP equal_JJ ,_, all_DT are_VBP free_JJ ,_, and_CC all_DT deserve_VBP a_DT chance_NN to_TO pursue_VB their_PRP$ full_JJ measure_NN of_IN happiness_NN ._.
",F
" the_DT God-given_JJ promise_NN that_IN all_DT are_VBP equal_JJ ,_, all_DT are_VBP free_JJ ,_, and_CC all_DT deserve_VBP a_DT chance_NN to_TO pursue_VB their_PRP$ full_JJ measure_NN of_IN happiness_NN ._.
","In_IN reaffirming_VBG the_DT greatness_NN of_IN our_PRP$ Nation_NNP ,_, we_PRP understand_VBP that_IN greatness_NN is_VBZ never_RB a_DT given_VBN ._.
",F
"In_IN reaffirming_VBG the_DT greatness_NN of_IN our_PRP$ Nation_NNP ,_, we_PRP understand_VBP that_IN greatness_NN is_VBZ never_RB a_DT given_VBN ._.
","It_PRP must_MD be_VB earned_VBN ._.
",F
"It_PRP must_MD be_VB earned_VBN ._.
","Our_PRP$ journey_NN has_VBZ never_RB been_VBN one_CD of_IN shortcuts_NNS or_CC settling_VBG for_IN less_JJR ._.
",F
"Our_PRP$ journey_NN has_VBZ never_RB been_VBN one_CD of_IN shortcuts_NNS or_CC settling_VBG for_IN less_JJR ._.
","It_PRP has_VBZ not_RB been_VBN the_DT path_NN for_IN the_DT fainthearted_VBN ,_, for_IN those_DT who_WP prefer_VBP leisure_NN over_IN work_NN or_CC seek_VB only_RB the_DT pleasures_NNS of_IN riches_NNS and_CC fame_NN ._.
",F
"It_PRP has_VBZ not_RB been_VBN the_DT path_NN for_IN the_DT fainthearted_VBN ,_, for_IN those_DT who_WP prefer_VBP leisure_NN over_IN work_NN or_CC seek_VB only_RB the_DT pleasures_NNS of_IN riches_NNS and_CC fame_NN ._.
","Rather_RB ,_, it_PRP has_VBZ been_VBN the_DT risk-takers_NNS ,_, the_DT doers_NNS ,_, the_DT makers_NNS of_IN things_NNS --_:
",T
"Rather_RB ,_, it_PRP has_VBZ been_VBN the_DT risk-takers_NNS ,_, the_DT doers_NNS ,_, the_DT makers_NNS of_IN things_NNS --_:","some_DT celebrated_JJ ,_, but_CC more_RBR often_RB men_NNS and_CC women_NNS obscure_JJ in_IN their_PRP$ labor_NN --_:
",F
"some_DT celebrated_JJ ,_, but_CC more_RBR often_RB men_NNS and_CC women_NNS obscure_JJ in_IN their_PRP$ labor_NN --_:
","who_WP have_VBP carried_VBN us_PRP up_IN the_DT long_JJ ,_, rugged_JJ path_NN toward_IN prosperity_NN and_CC freedom_NN ._.
",F
"who_WP have_VBP carried_VBN us_PRP up_IN the_DT long_JJ ,_, rugged_JJ path_NN toward_IN prosperity_NN and_CC freedom_NN ._.
","For_IN us_PRP ,_, they_PRP packed_VBD up_RP their_PRP$ few_JJ worldly_JJ possessions_NNS and_CC traveled_VBD across_IN oceans_NNS in_IN search_NN of_IN a_DT new_JJ life_NN ._.
",F
"For_IN us_PRP ,_, they_PRP packed_VBD up_RP their_PRP$ few_JJ worldly_JJ possessions_NNS and_CC traveled_VBD across_IN oceans_NNS in_IN search_NN of_IN a_DT new_JJ life_NN ._.
","For_IN us_PRP ,_, they_PRP toiled_VBD in_IN sweatshops_NNS and_CC settled_VBD the_DT West_NNP ,_, endured_VBD the_DT lash_VB of_IN the_DT whip_NN ,_, and_CC plowed_VBD the_DT hard_JJ Earth_NNP ._.
",T
"For_IN us_PRP ,_, they_PRP toiled_VBD in_IN sweatshops_NNS and_CC settled_VBD the_DT West_NNP ,_, endured_VBD the_DT lash_VB of_IN the_DT whip_NN ,_, and_CC plowed_VBD the_DT hard_JJ Earth_NNP ._.
","For_IN us_PRP ,_, they_PRP fought_VBD and_CC died_VBD in_IN places_NNS like_IN Concord_NNP and_CC Gettysburg_NNP ,_, Normandy_NNP and_CC Khe_NNP Sanh_NNP ._.
",T
"For_IN us_PRP ,_, they_PRP fought_VBD and_CC died_VBD in_IN places_NNS like_IN Concord_NNP and_CC Gettysburg_NNP ,_, Normandy_NNP and_CC Khe_NNP Sanh_NNP ._.
","Time_NNP and_CC again_RB ,_, these_DT men_NNS and_CC women_NNS struggled_VBD and_CC sacrificed_VBD and_CC worked_VBD 'til_RB their_PRP$ hands_NNS were_VBD raw_JJ so_IN that_IN we_PRP might_MD live_VB a_DT better_JJR life_NN ._.
",F
"Time_NNP and_CC again_RB ,_, these_DT men_NNS and_CC women_NNS struggled_VBD and_CC sacrificed_VBD and_CC worked_VBD 'til_RB their_PRP$ hands_NNS were_VBD raw_JJ so_IN that_IN we_PRP might_MD live_VB a_DT better_JJR life_NN ._.
","They_PRP saw_VBD America_NNP as_IN bigger_JJR than_IN the_DT sum_NN of_IN our_PRP$ individual_JJ ambitions_NNS ,_, greater_JJR than_IN all_PDT the_DT differences_NNS of_IN birth_NN or_CC wealth_NN or_CC faction_NN ._.
",F
"They_PRP saw_VBD America_NNP as_IN bigger_JJR than_IN the_DT sum_NN of_IN our_PRP$ individual_JJ ambitions_NNS ,_, greater_JJR than_IN all_PDT the_DT differences_NNS of_IN birth_NN or_CC wealth_NN or_CC faction_NN ._.
","This_DT is_VBZ the_DT journey_NN we_PRP continue_VBP today_NN ._.
",F
"This_DT is_VBZ the_DT journey_NN we_PRP continue_VBP today_NN ._.
","We_PRP remain_VBP the_DT most_RBS prosperous_JJ ,_, powerful_JJ nation_NN on_IN Earth_NNP ._.
",F
"We_PRP remain_VBP the_DT most_RBS prosperous_JJ ,_, powerful_JJ nation_NN on_IN Earth_NNP ._.
","Our_PRP$ workers_NNS are_VBP no_RB less_RBR productive_JJ than_IN when_WRB this_DT crisis_NN began_VBD ._.
",F
"Our_PRP$ workers_NNS are_VBP no_RB less_RBR productive_JJ than_IN when_WRB this_DT crisis_NN began_VBD ._.
","Our_PRP$ minds_NNS are_VBP no_RB less_RBR inventive_JJ ._.
",T
"Our_PRP$ minds_NNS are_VBP no_RB less_RBR inventive_JJ ._.
","Our_PRP$ goods_NNS and_CC services_NNS no_RB less_RBR needed_VBN than_IN they_PRP were_VBD last_JJ week_NN or_CC last_JJ month_NN or_CC last_JJ year_NN ._.
",T
"Our_PRP$ goods_NNS and_CC services_NNS no_RB less_RBR needed_VBN than_IN they_PRP were_VBD last_JJ week_NN or_CC last_JJ month_NN or_CC last_JJ year_NN ._.
","Our_PRP$ capacity_NN remains_VBZ undiminished_JJ ._.
",F
"Our_PRP$ capacity_NN remains_VBZ undiminished_JJ ._.
","But_CC our_PRP$ time_NN of_IN standing_VBG pat_NN ,_, of_IN protecting_VBG narrow_JJ interests_NNS and_CC putting_VBG off_RP unpleasant_JJ decisions_NNS ,_, that_DT time_NN has_VBZ surely_RB passed_VBN ._.
",F
"But_CC our_PRP$ time_NN of_IN standing_VBG pat_NN ,_, of_IN protecting_VBG narrow_JJ interests_NNS and_CC putting_VBG off_RP unpleasant_JJ decisions_NNS ,_, that_DT time_NN has_VBZ surely_RB passed_VBN ._.
","Starting_VBG today_NN ,_, we_PRP must_MD pick_VB ourselves_PRP up_RP ,_, dust_NN ourselves_PRP off_RP ,_, and_CC begin_VB again_RB the_DT work_NN of_IN remaking_VBG America_NNP ._.
",F
"Starting_VBG today_NN ,_, we_PRP must_MD pick_VB ourselves_PRP up_RP ,_, dust_NN ourselves_PRP off_RP ,_, and_CC begin_VB again_RB the_DT work_NN of_IN remaking_VBG America_NNP ._.
","For_IN everywhere_RB we_PRP look_VBP ,_, there_EX is_VBZ work_NN to_TO be_VB done_VBN ._.
",F
"For_IN everywhere_RB we_PRP look_VBP ,_, there_EX is_VBZ work_NN to_TO be_VB done_VBN ._.
","The_DT state_NN of_IN the_DT economy_NN calls_VBZ for_IN action_NN ,_, bold_JJ and_CC swift_JJ ,_, and_CC we_PRP will_MD act_VB not_RB only_RB to_TO create_VB new_JJ jobs_NNS but_CC to_TO lay_VB a_DT new_JJ foundation_NN for_IN growth_NN ._.
",F
"The_DT state_NN of_IN the_DT economy_NN calls_VBZ for_IN action_NN ,_, bold_JJ and_CC swift_JJ ,_, and_CC we_PRP will_MD act_VB not_RB only_RB to_TO create_VB new_JJ jobs_NNS but_CC to_TO lay_VB a_DT new_JJ foundation_NN for_IN growth_NN ._.
","We_PRP will_MD build_VB the_DT roads_NNS and_CC bridges_NNS ,_, the_DT electric_JJ grids_NNS and_CC digital_JJ lines_NNS that_WDT feed_VBP our_PRP$ commerce_NN and_CC bind_VBP us_PRP together_RB ._.
",T
"We_PRP will_MD build_VB the_DT roads_NNS and_CC bridges_NNS ,_, the_DT electric_JJ grids_NNS and_CC digital_JJ lines_NNS that_WDT feed_VBP our_PRP$ commerce_NN and_CC bind_VBP us_PRP together_RB ._.
","We_PRP will_MD restore_VB science_NN to_TO its_PRP$ rightful_JJ place_NN and_CC wield_VB technology_NN 's_POS wonders_NNS to_TO raise_VB health_NN care_NN 's_POS quality_NN and_CC lower_JJR its_PRP$ cost_NN ._.
",T
"We_PRP will_MD restore_VB science_NN to_TO its_PRP$ rightful_JJ place_NN and_CC wield_VB technology_NN 's_POS wonders_NNS to_TO raise_VB health_NN care_NN 's_POS quality_NN and_CC lower_JJR its_PRP$ cost_NN ._.
","We_PRP will_MD harness_NN the_DT sun_NN and_CC the_DT winds_NNS and_CC the_DT soil_NN to_TO fuel_VB our_PRP$ cars_NNS and_CC run_VB our_PRP$ factories_NNS ._.
",T
"We_PRP will_MD harness_NN the_DT sun_NN and_CC the_DT winds_NNS and_CC the_DT soil_NN to_TO fuel_VB our_PRP$ cars_NNS and_CC run_VB our_PRP$ factories_NNS ._.
","And_CC we_PRP will_MD transform_VB our_PRP$ schools_NNS and_CC colleges_NNS and_CC universities_NNS to_TO meet_VB the_DT demands_NNS of_IN a_DT new_JJ age_NN ._.
",T
"And_CC we_PRP will_MD transform_VB our_PRP$ schools_NNS and_CC colleges_NNS and_CC universities_NNS to_TO meet_VB the_DT demands_NNS of_IN a_DT new_JJ age_NN ._.
","All_PDT this_DT we_PRP can_MD do_VB ._.
",F
"All_PDT this_DT we_PRP can_MD do_VB ._.
","All_PDT this_DT we_PRP will_MD do_VB ._.
",T
"All_PDT this_DT we_PRP will_MD do_VB ._.
","Now_RB ,_, there_EX are_VBP some_DT who_WP question_VBP the_DT scale_NN of_IN our_PRP$ ambitions_NNS ,_, who_WP suggest_VBP that_IN our_PRP$ system_NN can_MD not_RB tolerate_VB too_RB many_JJ big_JJ plans_NNS ._.
",F
"Now_RB ,_, there_EX are_VBP some_DT who_WP question_VBP the_DT scale_NN of_IN our_PRP$ ambitions_NNS ,_, who_WP suggest_VBP that_IN our_PRP$ system_NN can_MD not_RB tolerate_VB too_RB many_JJ big_JJ plans_NNS ._.
","Their_PRP$ memories_NNS are_VBP short_JJ ,_, for_IN they_PRP have_VBP forgotten_VBN what_WP this_DT country_NN has_VBZ already_RB done_VBN ,_, what_WDT free_JJ men_NNS and_CC women_NNS can_MD achieve_VB when_WRB imagination_NN is_VBZ joined_VBN to_TO common_JJ purpose_NN and_CC necessity_NN to_TO courage_NN ._.
",F
"Their_PRP$ memories_NNS are_VBP short_JJ ,_, for_IN they_PRP have_VBP forgotten_VBN what_WP this_DT country_NN has_VBZ already_RB done_VBN ,_, what_WDT free_JJ men_NNS and_CC women_NNS can_MD achieve_VB when_WRB imagination_NN is_VBZ joined_VBN to_TO common_JJ purpose_NN and_CC necessity_NN to_TO courage_NN ._.
","What_WP the_DT cynics_NNS fail_VBP to_TO understand_VB is_VBZ that_IN the_DT ground_NN has_VBZ shifted_VBN beneath_IN them_PRP ,_, that_IN the_DT stale_JJ political_JJ arguments_NNS that_WDT have_VBP consumed_VBN us_PRP for_IN so_RB long_JJ no_RB longer_RB apply_VB ._.
",F
"What_WP the_DT cynics_NNS fail_VBP to_TO understand_VB is_VBZ that_IN the_DT ground_NN has_VBZ shifted_VBN beneath_IN them_PRP ,_, that_IN the_DT stale_JJ political_JJ arguments_NNS that_WDT have_VBP consumed_VBN us_PRP for_IN so_RB long_JJ no_RB longer_RB apply_VB ._.
","The_DT question_NN we_PRP ask_VBP today_NN is_VBZ not_RB whether_IN our_PRP$ Government_NN is_VBZ too_RB big_JJ or_CC too_RB small_JJ ,_, but_CC whether_IN it_PRP works_VBZ ;_:
",F
"The_DT question_NN we_PRP ask_VBP today_NN is_VBZ not_RB whether_IN our_PRP$ Government_NN is_VBZ too_RB big_JJ or_CC too_RB small_JJ ,_, but_CC whether_IN it_PRP works_VBZ ;_:
"," whether_IN it_PRP helps_VBZ families_NNS find_VB jobs_NNS at_IN a_DT decent_JJ wage_NN ,_, care_NN they_PRP can_MD afford_VB ,_, a_DT retirement_NN that_WDT is_VBZ dignified_JJ ._.
",T
